Crm Cd,Crm Cd Desc
624,BATTERY - SIMPLE ASSAULT
510,VEHICLE - STOLEN
626,INTIMATE PARTNER - SIMPLE ASSAULT
745,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
740,VANDALISM - FELONY ($400 & OVER ALL CHURCH VANDALISMS)
121,RAPE FORCIBLE
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
946,OTHER MISCELLANEOUS CRIME
341,THEFT-GRAND ($950.01 & OVER)EXCPT-GUNS-FOWL-LIVESTK-PROD
330,BURGLARY FROM VEHICLE
930,CRIMINAL THREATS - NO WEAPON DISPLAYED
648,ARSON
230,ASSAULT WITH DEADLY WEAPON - AGGRAVATED ASSAULT
210,ROBBERY
236,INTIMATE PARTNER - AGGRAVATED ASSAULT
310,BURGLARY
860,BATTERY WITH SEXUAL CONTACT
627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT
420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
662,BUNCO- GRAND THEFT
437,RESISTING ARREST
220,ATTEMPTED ROBBERY
623,BATTERY POLICE (SIMPLE)
480,BIKE - STOLEN
900,VIOLATION OF COURT ORDER
956,LETTERS- LEWD  -  TELEPHONE CALLS - LEWD
888,TRESPASSING
350,THEFT- PERSON
761,BRANDISH WEAPON
755,BOMB SCARE
320,BURGLARY- ATTEMPTED
753,DISCHARGE FIREARMS/SHOTS FIRED
110,CRIMINAL HOMICIDE
890,FAILURE TO YIELD
440,THEFT PLAIN - PETTY ($950 & UNDER)
647,THROWING OBJECT AT MOVING VEHICLE
251,SHOTS FIRED AT INHABITED DWELLING
815,SEXUAL PENETRATION W/FOREIGN OBJECT
622,BATTERY ON A FIREFIGHTER
625,OTHER ASSAULT
649,DOCUMENT FORGERY / STOLEN FELONY
821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH
813,CHILD ANNOYING (17YRS & UNDER)
421,THEFT FROM MOTOR VEHICLE - ATTEMPT
475,THEFT - COIN MACHINE - ATTEMPT
331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)
664,BUNCO - PETTY THEFT
354,THEFT OF IDENTITY
668,EMBEZZLEMENT - GRAND THEFT ($950.01 & OVER)
901,VIOLATION OF RESTRAINING ORDER
850,INDECENT EXPOSURE
940,EXTORTION
902,VIOLATION OF TEMPORARY RESTRAINING ORDER
920,KIDNAPPING - GRAND ATTEMPT
343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER)
910,KIDNAPPING
762,LEWD CONDUCT
951,DEFRAUDING INNKEEPER/THEFT OF SERVICES - $950 & UNDER
845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE
